permutation,null_type,group_id,ppi_group,count,mean,sem
7,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,718176,0.5039773554923964,0.0003403939871697893
7,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,77548,0.5024349135573152,0.001052915176260919
7,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,3238,0.5599487451003199,0.005441115933738814
8,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12694,0.5136994226811774,0.0025177656594428405
8,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,857266,0.49999763939618064,0.0003097597352997628
8,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,734753,0.4986510754712874,0.0003381420591955612
8,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,87859,0.5119041411165685,0.0009973835793080162
8,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,2989,0.5636614956873812,0.005390199806920774
9,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12756,0.4845498191748876,0.0025602602425068522
9,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,920166,0.5015783310650317,0.0003000522801271488
9,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,692202,0.500850219812929,0.00034830131988247
9,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,69253,0.48000686391159897,0.0011109788205308768
9,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,3026,0.46061404270754336,0.005216308858526796
10,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12844,0.5073156101651601,0.0025530013466877983
10,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,867811,0.5025784852228509,0.000309979591211478
10,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,733949,0.49723376213237713,0.00033744594105520985
10,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,76247,0.4990057308225677,0.001032192201278617
10,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,4710,0.517868507460844,0.003632221573955847
11,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12706,0.5174690516453019,0.0025400210893629063
11,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,873311,0.5001357586577038,0.00030723604203561014
11,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,722123,0.4998414118789118,0.00034176749629682437
11,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,80693,0.5007578394506907,0.0010242881105053338
11,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,6728,0.4865288881527287,0.0034158501455737
12,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12676,0.5175768371897834,0.0025732067316657273
12,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,883422,0.5031501639657737,0.00030776396749150294
12,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,710356,0.4956475623625351,0.00034250814231025873
12,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,82629,0.5024939689387318,0.0009853225544237836
12,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,4637,0.5574190745598245,0.00396454871432142
13,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12839,0.48773902160401333,0.0025675929771181547
13,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,899915,0.49556898755865286,0.0003026901611799385
13,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,694106,0.501578849280856,0.00034741946788099265
13,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,86669,0.5154478750193664,0.000995034263135227
13,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,3874,0.5792905423887508,0.004673835279782386
14,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12621,0.4954825806937665,0.0025950908329277563
14,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,872343,0.49721454648525093,0.0003069293427083376
14,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,709849,0.5009090121605647,0.000345216907190173
14,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,94249,0.5123374330720618,0.0009504675638095501
14,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,4658,0.488799564365747,0.0041184083391848205
15,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12933,0.49525101082377443,0.0025378982807602903
15,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,906294,0.4994110802507419,0.00030227280417154286
15,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,706251,0.5010676517878071,0.00034463549273526387
15,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,67200,0.48583181456024077,0.0011127753434704134
15,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,2883,0.6278169231910768,0.005204190492327819
16,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12821,0.5286981409014153,0.002596077680443656
16,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,895904,0.4991384950803142,0.00030557926736551476
16,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,702365,0.5018257814807874,0.0003430205514233067
16,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,81950,0.5015002617154783,0.0010151771176619478
16,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,2521,0.5299090507847616,0.005951974486596778
17,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12823,0.49347715570365724,0.0025310988897444034
17,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,916330,0.5045259379872695,0.00029976553346183765
17,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,688635,0.49609521870972045,0.00034996691026004367
17,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,76316,0.4832708036503433,0.0010635281009359605
17,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,3299,0.3913802888579624,0.005026032049293987
18,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12897,0.48812289115186575,0.0025428597453952826
18,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,903647,0.49757750416849267,0.00030428447702961735
18,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,700898,0.504586465456271,0.0003444286347830364
18,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,71169,0.4848381826932918,0.001070361013678052
18,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,5109,0.4320995004207254,0.003804970656337071
19,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12860,0.46942875477802704,0.0024950031062409947
19,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,897563,0.4935277208245018,0.0003026114227718676
19,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,698281,0.5079196234317531,0.00034728969795482645
19,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,81753,0.49721587218085317,0.00102715375477944
19,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,3264,0.4630048243193888,0.005120146432777144
20,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12788,0.4885244964899355,0.002583368872163263
20,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,866898,0.4996233986531305,0.00031206561956423514
20,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,721623,0.4989139081472493,0.00033759163664766307
20,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,92457,0.5094800149162562,0.0009439513427055083
20,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,3637,0.48107089268743813,0.004603381128472449
21,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12786,0.5041260892801624,0.0024617351835642225
21,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,880497,0.4984872476351167,0.00030704912684281543
21,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,712818,0.4975807782510336,0.00034363418449643906
21,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,87470,0.5269039461884534,0.0009680144441260329
21,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,3832,0.576112300549747,0.004352327791854278
22,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12728,0.48801346234996335,0.002519843950805758
22,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,901880,0.5010008478568977,0.0003054496570707697
22,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,704879,0.4991997969650944,0.00034184461039075015
22,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,74140,0.5066513950644398,0.00106137542752865
22,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,1934,0.4668091488109935,0.0066004362043882246
23,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12689,0.49586603508467886,0.002571387813394828
23,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,900719,0.4990229974049569,0.00030361591408405484
23,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,701435,0.5013478687758559,0.000344777958076589
23,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,78406,0.5053557095101624,0.0010464433609511986
23,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,2312,0.50016949953994,0.00639550001663539
24,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,13112,0.5227397202113009,0.0025323382151911026
24,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,878350,0.5050756161621682,0.0003086863722728038
24,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,718267,0.49504938304562146,0.0003398439688765005
24,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,84875,0.4772878866308817,0.0009844787727378245
24,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,2799,0.5292705769619902,0.005683226587170393
25,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12806,0.4953559425094891,0.002502248083884436
25,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,900389,0.49201687996100607,0.0003029152548772695
25,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,692928,0.5048966784003394,0.00034715202010632035
25,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,86521,0.5307913012238057,0.0009874202443646148
25,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,2917,0.529898125202672,0.005445824670424843
26,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12943,0.5005867155081596,0.0025006975258532573
26,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,895643,0.49858954743689704,0.0003025159861554247
26,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,691682,0.5026475578273616,0.0003492449229467305
26,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,87885,0.5010633791599423,0.0009970100455992277
26,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,5567,0.4580019651916387,0.004127830679184751
27,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12679,0.49943759878768057,0.0025342260711930507
27,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,904281,0.49881075562781785,0.0003047978935001494
27,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,698781,0.5000897285186047,0.0003431941346268724
27,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,77059,0.5149543595762747,0.0010564592970703365
27,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,2761,0.4524945814870631,0.0057404415294995985
28,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12889,0.499041810146931,0.0025355506645462845
28,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,913307,0.4984166829265459,0.0003026298180119926
28,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,684677,0.5033900834769335,0.0003485079720663434
28,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,81337,0.4945088521442672,0.0009968044931304221
28,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,5193,0.44197404846280475,0.0038922309992145826
29,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12747,0.504104160569528,0.0025757581204969016
29,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,878644,0.5015065560267448,0.00030843691224079905
29,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,711318,0.49730193126005456,0.0003418689539118428
29,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,90458,0.4955673120966753,0.0009485023120026491
29,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,4236,0.49101115005056006,0.004258266950776613
30,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12946,0.5038418210531008,0.0025527071078959842
30,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,907552,0.49900759195096234,0.0003031684149300615
30,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,693167,0.5006573532268019,0.0003455629036439178
30,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,80822,0.5147042986179986,0.0010250590549843253
30,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,2916,0.5150139382459268,0.005443117253990117
31,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12925,0.48337079100473546,0.0025169115933712867
31,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,893297,0.49071420165649765,0.000304109720395236
31,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,706656,0.507778900391031,0.00034473612615377975
31,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,79937,0.5118624401555032,0.001005784286089238
31,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,4588,0.5466198765013356,0.004127186387557303
32,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12945,0.48824995890200185,0.0025203137942906677
32,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,913223,0.4915765011034579,0.000300804053298558
32,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,690500,0.5074437610716097,0.00034799213563127074
32,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,75255,0.5304951947142463,0.0010722789761745352
32,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,5480,0.4710698767923148,0.004066818806097374
33,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12908,0.49698111746408846,0.002530614726641882
33,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,904121,0.4992706348926838,0.0003018199173874498
33,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,686337,0.5013795085098902,0.00035075755203769143
33,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,83670,0.4971408128726642,0.001006779268911302
33,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,6684,0.5470627266812699,0.003522103327971759
34,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12917,0.4861021132630848,0.0025338275037804256
34,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,896565,0.49806940689999335,0.0003056706753565638
34,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,709813,0.5014944429335854,0.0003413938484596238
34,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,75711,0.5161461695294605,0.0010346738127607418
34,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,2397,0.482328484158568,0.005439534950880228
35,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12679,0.486606356847411,0.0026119541141929616
35,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,906310,0.5035238795260243,0.0003045962011589436
35,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,690279,0.49504384751216474,0.0003448052789171815
35,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,79170,0.5089755986232629,0.001036483933459559
35,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,7123,0.45691270280124313,0.0031872276621767327
36,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12859,0.4958711649317519,0.0025536232500582763
36,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,895179,0.49745476120222587,0.0003054031948490526
36,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,701093,0.5033496593003375,0.0003445635109531273
36,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,82050,0.5110822252753977,0.0010140233766892878
36,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,4380,0.4933357515723295,0.0038665944191179653
37,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12789,0.5016024541393687,0.0025727046419081988
37,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,915967,0.49891448199283467,0.00030270732888661
37,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,680530,0.4993787097553471,0.0003474901041448958
37,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,84826,0.5103443514861606,0.0009980367598582014
37,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,3291,0.5368255558160275,0.005031101682428861
38,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12811,0.5061477298679101,0.0025355200683486513
38,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,915008,0.5011756036891649,0.00030283835642710315
38,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,698701,0.4993881098699249,0.00034437584673212903
38,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,64075,0.4825147472071267,0.0011149463481873853
38,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,4966,0.5497728658185878,0.004411446224534347
39,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12690,0.5117207883095639,0.002570572949071366
39,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,894656,0.5003402662583546,0.0003073208854666297
39,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,700767,0.501079504754304,0.0003429009906550253
39,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,81957,0.4869202434640955,0.0009844792020012646
39,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,3650,0.4479093889363808,0.004570537446193403
40,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12749,0.504750026164919,0.00248955623466179
40,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,889766,0.5030200291449501,0.00030321947699832883
40,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,701398,0.4986309291908246,0.00034766843383397274
40,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,84755,0.476117496246693,0.0010017558601820129
40,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,5052,0.4170130380076228,0.003985231878463774
41,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12958,0.48197035665186777,0.0024887030708710756
41,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,882611,0.49968502594914244,0.0003064771107896031
41,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,720129,0.49859190129395065,0.0003404515963647775
41,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,74780,0.5098686901439462,0.0010821292227018036
41,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,3242,0.6011971792145417,0.0053250804775474584
42,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12768,0.4979351217955866,0.0025376020082291356
42,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,884399,0.5010069122475869,0.0003081083267475646
42,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,703634,0.5004096385517225,0.0003430774258827296
42,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,87091,0.4882378239771274,0.0009706768053252412
42,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,9511,0.513831458066415,0.002967843926351415
43,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,0,1,12913,0.5122016030365582,0.002551284282389745
43,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,1,2,861405,0.5088760208495906,0.0003109068130431008
43,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,2,3,729521,0.4917172250545989,0.0003374265495037909
43,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,3,4,82002,0.4858338400955543,0.0010076076592277273
43,protein_embedding_entity_label_shuffle_plus_exact_degree_ppi_label_shuffle,4,>4,4201,0.4217572486676348,0.004130161758430479
